Generation,Population,Nwt.0,Nmut.0,Nwt.1,Nmut.1,xmut.0,xmut.1,logfc_mut,logfc_wt,logit_percycle,logit_pergen,W,log_percycle,#Rep
12000,Ara + 3,303000.0,107000.0,11400000.0,21800000.0,0.2906060606060606,0.6561359988326281,5.351562915562093,3.792125866027466,1.5594370495346266,0.43658098469015827,1.4365809846901583,0.8391560734454531,2.0
13000,Ara + 3,278000.0,127000.0,8600000.0,24000000.0,0.3372089354451947,0.7434371184371185,5.3081463828648845,3.533654228546372,1.7744921543185126,0.5023066590163345,1.5023066590163348,0.7980075373017719,2.0
14000,Ara + 3,326000.0,160000.0,8000000.0,24500000.0,0.32930070883315155,0.7549253618246572,5.03306609061794,3.177514292718774,1.8555517978991651,0.5892292698578343,1.5892292698578343,0.827445187149529,2.0
15000,Ara + 3,335000.0,155000.0,6700000.0,23500000.0,0.31406940816988443,0.7793065613342112,5.041297743884536,2.979125581060456,2.06217216282408,0.6962716974197134,1.6962716974197134,0.9082815515017565,2.0
16000,Ara + 3,342000.0,178000.0,7700000.0,24700000.0,0.34748170989781724,0.7624237804878049,4.933777771655032,3.1335734168839053,1.8002043547711268,0.5826105798047079,1.5826105798047077,0.7909728983267703,2.0
17000,Ara + 3,327000.0,141000.0,6900000.0,20100000.0,0.29292194892170315,0.7447802197802198,5.048623685229217,3.0927378921924356,1.9558857930367806,0.6390044533250665,1.6390044533250665,0.9368844214724525,2.0
18000,Ara + 3,342000.0,174000.0,8900000.0,28000000.0,0.3316230976250807,0.7513252724998511,5.103584983167176,3.263843682994825,1.8397413001723502,0.5623957942012403,1.5623957942012403,0.8173061971718822,2.0
19000,Ara + 3,322000.0,147000.0,7300000.0,18100000.0,0.32027363184079605,0.749608938547486,4.76481759424041,2.844467120457578,1.9203504737828314,0.7279190018185182,1.7279190018185182,0.8543563928487518,2.0
20000,Ara + 3,323000.0,168000.0,6300000.0,17200000.0,0.3398517428294504,0.7364705882352941,4.641234678162606,2.9476444705136142,1.6935902076489913,0.5760364063717638,1.5760364063717638,0.7734145872973472,2.0
22000,Ara + 3,331000.0,172000.0,6600000.0,20500000.0,0.3378715940899266,0.7709617010994322,4.81568949829698,2.909639106104035,1.9060503921929444,0.6663182318236911,1.666318231823691,0.8238476445361045,2.0
24000,Ara + 3,391000.0,174000.0,9000000.0,25200000.0,0.3062463521709341,0.7440748143917761,4.975903064903468,3.0814032999294643,1.8944997649740036,0.6261739882167043,1.6261739882167043,0.8878903141725785,2.0
26000,Ara + 3,353000.0,182000.0,7200000.0,18800000.0,0.3332411334439732,0.750625,4.705322215660285,2.7906843585633636,1.9146378570969214,0.7569748391192053,1.7569748391192053,0.8016355773757647,2.0
28000,Ara + 3,346000.0,118000.0,6100000.0,14600000.0,0.23317683881064163,0.6768518518518518,4.920462785689733,2.874913206578804,2.0455495791109293,0.710953700575879,1.710953700575879,1.145287695500108,2.0
30000,Ara + 3,386000.0,92000.0,5500000.0,11700000.0,0.19464207927980254,0.6594420278986051,4.766142254017243,2.669345716364668,2.0967965376525752,0.7901757149204249,1.790175714920425,1.2169256353323887,2.0
32000,Ara + 3,372000.0,88000.0,9200000.0,12400000.0,0.19065820655913157,0.5643375994465583,4.918420774529496,3.201054979205238,1.7173657953242585,0.5495084838354631,1.5495084838354631,1.0680297548773452,2.0
34000,Ara + 3,384000.0,61000.0,8900000.0,14700000.0,0.1417630477138001,0.6342958117151666,5.477516165173126,3.0974168218556355,2.3800993433174904,0.7705011931951703,1.7705011931951704,1.516658018366555,2.0
36000,Ara + 3,359000.0,110000.0,7700000.0,12600000.0,0.24679920402493055,0.6641001466582862,4.746453671880596,2.813210436364809,1.933243235515788,0.7385685205191531,1.738568520519153,1.0008902644206021,2.0
38000,Ara + 3,334000.0,139000.0,5600000.0,23000000.0,0.29882848761650144,0.8049326214085939,5.095990492029394,2.8224604832252895,2.273530008804104,0.8057068989385322,1.8057068989385323,0.9946127131007194,2.0
40000,Ara + 3,339000.0,103000.0,5200000.0,18100000.0,0.23631159780985567,0.7761683620816748,5.167135234314291,2.7351587798760297,2.431976454438262,0.8892313927777211,1.8892313927777211,1.1960271751546274,2.0
42000,Ara + 3,320000.0,103000.0,5200000.0,16800000.0,0.2424971098265896,0.7626613704071499,5.113076208623321,2.8006774135415062,2.312398795081814,0.8363715816296796,1.8363715816296797,1.14546350756196,2.0
44000,Ara + 3,351000.0,114000.0,4800000.0,16300000.0,0.24133450529292622,0.7728212039532794,4.995414781345638,2.582663458585441,2.4127513227601973,0.9483933558660601,1.94839335586606,1.1642456404401014,2.0
46000,Ara + 3,267000.0,66000.0,5700000.0,12600000.0,0.20535928863254024,0.6884854276158624,5.274690924122764,3.1225590459094494,2.1521318782133148,0.7010860178015634,1.7010860178015634,1.2158317854572256,2.0
48000,Ara + 3,313000.0,68000.0,6100000.0,7700000.0,0.1827328159645233,0.5558804418453541,4.738601408322786,2.9692796828477057,1.7693217254750808,0.5956874121133084,1.5956874121133084,1.161427998169481,2.0
50000,Ara + 3,345000.0,40000.0,5200000.0,5100000.0,0.10486486486486488,0.4913207547169811,4.823288569375551,2.687734212868226,2.135554356507325,0.8039602584336281,1.803960258433628,1.5362975197105058,2.0
0,Ara + 4,248500.0,270000.0,28700000.0,28450000.0,0.5247303138651553,0.49807676820100577,4.65631902492426,4.7638564407517086,-0.10753741582744891,-0.02207178881747769,0.9779282111825223,-0.049253152878545314,4.0
500,Ara + 4,232000.0,185000.0,19400000.0,20300000.0,0.4447387005649718,0.5097889651665395,4.700775438093691,4.4394097916462325,0.26136564644745874,0.0581404893507418,1.0581404893507418,0.13412814735058287,2.0
1000,Ara + 4,291000.0,200000.0,16100000.0,26200000.0,0.4081470450438391,0.6188441188441188,4.871054428587861,4.014598906081368,0.8564555225064931,0.21405811652239426,1.2140581165223943,0.4164295533765853,2.0
1500,Ara + 4,214000.0,111000.0,17600000.0,25800000.0,0.3406920336542105,0.59737791728055,5.455475201597832,4.395110284483771,1.060364917114061,0.24177749058510503,1.241777490585105,0.5634277575192135,2.0
2000,Ara + 4,216000.0,183000.0,15600000.0,23200000.0,0.45876677219960804,0.5981611394557823,4.842460265898954,4.278375325242353,0.5640849406566022,0.13277418506432287,1.132774185064323,0.26527103365851923,2.0
2500,Ara + 4,221000.0,171000.0,10500000.0,28700000.0,0.43753742807300755,0.7352281031422905,5.139205409990185,3.835509084841411,1.3036963251487745,0.3399136978612274,1.3399136978612272,0.5352213095653919,2.0
3000,Ara + 4,276000.0,129000.0,13700000.0,21800000.0,0.30910296067167475,0.5965322580645162,5.173667202093434,3.8822659416619425,1.2914012604314915,0.3334017956541603,1.3334017956541602,0.7050349761365523,2.0
3500,Ara + 4,258000.0,118000.0,11500000.0,19800000.0,0.3093916392885465,0.6059393785454238,5.161228212936432,3.7949435037927586,1.3662847091436732,0.35996666526156296,1.359966665261563,0.7570235699325062,2.0
4000,Ara + 4,285000.0,103000.0,12400000.0,15700000.0,0.28446553446553446,0.5710445468509985,5.028819116181693,3.7552290340343335,1.2735900821473596,0.33933108052579075,1.339331080525791,0.7299322771439047,2.0
4500,Ara + 4,220000.0,96000.0,6400000.0,20400000.0,0.3327749860413177,0.7421379699956061,5.274312756954856,3.454125716896306,1.8201870400585503,0.5516925129404369,1.5516925129404369,0.8588708629414419,2.0
5000,Ara + 4,270000.0,131000.0,9300000.0,20900000.0,0.327056072441415,0.6863095238095238,5.052241435313663,3.5356339849742726,1.516607450339391,0.4319022997005241,1.431902299700524,0.7521082954589999,2.0
6000,Ara + 4,227000.0,124000.0,11300000.0,21100000.0,0.35300052069773497,0.648580586080586,5.127921417665172,3.8940551045089293,1.2338663131562426,0.32183369324301964,1.3218336932430197,0.6023060233635529,2.0
7000,Ara + 4,221000.0,126000.0,7100000.0,25700000.0,0.37231491136600625,0.7791364734299517,5.308323364051267,3.5084161420922593,1.799907221959008,0.5150002230991979,1.515000223099198,0.7443228777434798,2.0
8000,Ara + 4,217000.0,118000.0,10600000.0,28000000.0,0.3576025305410122,0.7304272392105834,5.469441712640187,3.8669958338842543,1.6024458787559321,0.41519161416764966,1.4151916141676497,0.7174941035201401,2.0
9000,Ara + 4,218000.0,107000.0,7800000.0,19500000.0,0.3285454407640416,0.7214285714285714,5.192319980367979,3.5185345178312284,1.673785462536751,0.4883655891758395,1.4883655891758394,0.7884820523213576,2.0
10000,Ara + 4,192000.0,79000.0,7000000.0,21000000.0,0.3131956397016638,0.7526068288693519,5.5860448584484566,3.6206049255570147,1.9654399328914418,0.5438295223137254,1.5438295223137253,0.9231255308877748,2.0
11000,Ara + 4,258000.0,107000.0,9000000.0,19900000.0,0.30042337811166997,0.688488071284852,5.235254451550715,3.5925601922314927,1.6426942593192224,0.4628710686720441,1.462871068672044,0.8344589095741142,2.0
12000,Ara + 4,259000.0,131000.0,13900000.0,33700000.0,0.3366477272727273,0.7156432748538011,5.498911642218489,3.887447580690438,1.6114640615280507,0.41539775132516255,1.4153977513251625,0.7643106392722527,2.0
13000,Ara + 4,228000.0,91000.0,9600000.0,18300000.0,0.28734731597557056,0.6572356215213357,5.308577231663625,3.7463840085007654,1.5621932231628597,0.4169186882270781,1.4169186882270783,0.8278603102817164,2.0
14000,Ara + 4,237000.0,109000.0,7100000.0,17000000.0,0.3355993772703684,0.6955532212885154,5.0334559345743575,3.4537970008327212,1.579658933741637,0.4621952003455512,1.4621952003455512,0.780863065397767,2.0
15000,Ara + 4,248000.0,111000.0,6100000.0,17800000.0,0.3075178626902765,0.7446778711484594,5.0987969959847526,3.20041668434831,1.8983803116364422,0.5989384692048669,1.598938469204867,0.9000247541962997,2.0
16000,Ara + 4,252000.0,100000.0,9100000.0,23900000.0,0.28281653746770025,0.7272777963644474,5.498732663452588,3.5658599371657402,1.9328727262868481,0.5413858260195986,1.5413858260195985,0.9638287715062499,2.0
17000,Ara + 4,265000.0,110000.0,9300000.0,24100000.0,0.29725218284540317,0.7316622301094351,5.40172020856287,3.4937912463173992,1.907928962245471,0.5478915990858068,1.5478915990858066,0.9260742320151001,2.0
18000,Ara + 4,286000.0,110000.0,6700000.0,19100000.0,0.2776627559236255,0.7410117434507679,5.158110307336083,3.149264217254489,2.008846090081593,0.6402479724823813,1.6402479724823813,0.9814434586050729,2.0
19000,Ara + 4,296000.0,102000.0,6900000.0,21900000.0,0.2634881763220326,0.7607142857142857,5.384993809953634,3.1658604808673876,2.219133329086246,0.7060691874782576,1.7060691874782576,1.0986250436074607,2.0
20000,Ara + 4,325000.0,130000.0,8500000.0,24800000.0,0.28734762015684445,0.7473056057866185,5.2510527491374095,3.23768788038947,2.01336486874794,0.6253701578811195,1.6253701578811195,0.9570159186803586,2.0
22000,Ara + 4,269000.0,123000.0,9600000.0,27600000.0,0.3186062370498597,0.7410297316896302,5.414214727127058,3.588998858574281,1.825215868552778,0.5141336421996411,1.5141336421996412,0.8593886755833064,2.0
24000,Ara + 4,262000.0,125000.0,9000000.0,23700000.0,0.3231498797755811,0.721864406779661,5.236320024360053,3.5361131122413916,1.7002069121186616,0.4809729920339758,1.4809729920339758,0.8028712254861565,2.0
26000,Ara + 4,267000.0,134000.0,7800000.0,24600000.0,0.3344449975111996,0.7536855036855037,5.197982018816961,3.3591067371073473,1.8388752817096135,0.5520920934050375,1.5520920934050375,0.809526017612199,2.0
28000,Ara + 4,269000.0,169000.0,5200000.0,21300000.0,0.37730743413324386,0.801990391214825,4.901473161657125,2.963797946569238,1.937675215087887,0.6546372488505464,1.6546372488505465,0.7978319988908388,2.0
30000,Ara + 4,251000.0,105000.0,5300000.0,22400000.0,0.3085257091342284,0.808805129809196,5.378504320248595,3.0672826953743275,2.3112216248742676,0.7555148643286949,1.7555148643286949,1.0142922753336674,2.0
32000,Ara + 4,267000.0,124000.0,4600000.0,22400000.0,0.32445767195767194,0.8291703345070423,5.200992262707753,2.868242672368976,2.3327495903387767,0.8274743037795222,1.8274743037795222,0.9619256067630617,2.0
34000,Ara + 4,272000.0,129000.0,5700000.0,23900000.0,0.32066614214529243,0.8030121315558836,5.239433820595069,3.05976260858775,2.17967121200732,0.7099022915653699,1.7099022915653699,0.9165922965185247,2.0
36000,Ara + 4,308000.0,138000.0,6500000.0,25300000.0,0.3117002952755905,0.7937213474187761,5.208488146860802,3.0626928130199813,2.14579533384082,0.7069998157204261,1.706999815720426,0.9357201119366924,2.0
38000,Ara + 4,253000.0,130000.0,5500000.0,19400000.0,0.3396918461958004,0.7821624087591241,5.007855772887817,3.052130020626663,1.9557257522611535,0.6578078265592305,1.6578078265592304,0.8383028188708015,2.0
40000,Ara + 4,222000.0,128000.0,5200000.0,23400000.0,0.3835216668363365,0.8191257911392404,5.205121623221795,3.200651420014185,2.0044702032076103,0.6648468733992221,1.664846873399222,0.788185859931901,2.0
42000,Ara + 4,249000.0,114000.0,6300000.0,23800000.0,0.32317568411845554,0.7908609271523179,5.339509307276828,3.2326179746322623,2.1068913326445653,0.6517273201791614,1.6517273201791614,0.9073146115766145,2.0
44000,Ara + 4,260000.0,81000.0,4500000.0,17600000.0,0.23167293233082706,0.7934690415606447,5.418726897784502,2.845679977328822,2.5730469204556807,0.9067074720175343,1.9067074720175343,1.2588669829836625,2.0
46000,Ara + 4,203000.0,93000.0,6600000.0,15700000.0,0.3143633292243072,0.7030920305145268,5.125760305779208,3.4807627826676466,1.6449975231115619,0.47238124851921187,1.4723812485192118,0.8082087853659568,2.0
48000,Ara + 4,236000.0,105000.0,5500000.0,16700000.0,0.30869219052893937,0.7515482398956975,5.067299636749757,3.1528702546660687,1.9144293820836888,0.6083495778196351,1.6083495778196348,0.890182470436794,2.0
50000,Ara + 4,234000.0,97000.0,6100000.0,20200000.0,0.3045321974057871,0.7816255534471854,5.3109962509593736,3.1767355696873807,2.134260681271993,0.6756031986118665,1.6756031986118665,0.9556671507509618,2.0
0,Ara + 5,344500.0,372500.0,31550000.0,32950000.0,0.5184638425629347,0.5107334672536932,4.480218794038714,4.511182916059887,-0.030964122021173823,-0.007070564451756238,0.9929294355482436,-0.014044049274403225,4.0
500,Ara + 5,342000.0,328000.0,22700000.0,35600000.0,0.4858698798668404,0.6124574226511497,4.703710080150572,4.187969876348902,0.5157402038016694,0.12330476115075495,1.123304761150755,0.23256334518217667,2.0
1000,Ara + 5,332000.0,276000.0,16500000.0,33800000.0,0.4572945220380281,0.6696062549590056,4.782294815445265,3.902710630509293,0.8795841849359727,0.2250759379273798,1.2250759379273797,0.38636059254422794,2.0
1500,Ara + 5,377000.0,258000.0,16700000.0,34700000.0,0.40634486042497475,0.6763289049126687,4.902473762351276,3.7746575453757947,1.1278162169754813,0.30607452145050545,1.3060745214505054,0.5089766690371388,2.0
2000,Ara + 5,361000.0,225000.0,15800000.0,32200000.0,0.38423402255639094,0.6709509335649153,4.967122371020142,3.782887864012735,1.1842345070074078,0.31307356558966193,1.313073565589662,0.5574389749753434,2.0
2500,Ara + 5,329000.0,229000.0,13700000.0,38900000.0,0.4107142857142857,0.7471091445427729,5.133385812019691,3.6685264312292,1.4648593807904908,0.41456799356778673,1.4145679935677868,0.5958213243098545,2.0
3000,Ara + 5,421000.0,227000.0,14800000.0,38600000.0,0.3503505696757231,0.7210004373033898,5.130189932076571,3.559796559186832,1.5703933728897392,0.4415415893723107,1.4415415893723107,0.7213089333502387,2.0
