genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
YPR062W,39,B,4,104,1.000000000e+00,-3.104388876e-02,8.499200754e+02,5.223202096e+02,2.332664841e-06,1.457915525e-07,9.493337518e-01
BY4741,49,A,71,71,1.000000000e+00,3.816520326e-02,4.200033423e+02,1.115742563e+02,1.608484915e-06,1.005303072e-07,9.508398171e-01
BY4741,49,A,71,71,1.000000000e+00,-4.386044855e-02,1.024714972e+03,6.281744169e+02,2.142300006e-06,1.071150003e-07,9.557439933e-01
YDR247W,13,A,58,58,1.000000000e+00,3.276120830e-03,4.512423183e+02,3.167563815e+02,8.261385831e-08,1.180197976e-08,6.527364487e-01
YDR247W,13,A,58,58,1.000000000e+00,-2.075508599e-02,9.300745907e+02,5.991916236e+02,2.539429508e-06,1.493782064e-07,9.451728835e-01
YKL054C,22,A,48,48,1.000000000e+00,-7.647913404e-04,3.361473011e+02,1.138907910e+02,2.193816492e-07,1.994378629e-08,9.548926748e-01
YKL054C,22,A,48,48,1.000000000e+00,4.385166351e-03,1.193079669e+03,8.499588252e+02,1.567274062e-06,9.219259188e-08,9.426426299e-01
YPR095C,39,A,26,26,2.000000000e+00,-1.654090714e-02,1.234690365e+03,5.241948761e+02,2.027126082e-06,5.791788805e-08,9.826859496e-01
BY4741,5,A,27,27,1.000000000e+00,6.012616972e-02,2.975639598e+02,8.416834000e+01,2.592981678e-06,2.592981678e-07,8.448343324e-01
BY4741,5,A,27,27,1.000000000e+00,-3.081822918e-02,9.838595593e+02,6.312126534e+02,2.566415447e-06,1.425786359e-07,9.548469968e-01
YOR175C,34,B,11,111,1.000000000e+00,-2.601363537e-02,8.270546236e+02,4.916118077e+02,2.426924932e-06,1.427602901e-07,9.536587930e-01
YLR452C,41,B,51,151,1.000000000e+00,-1.300847770e-02,8.998968999e+02,5.718621920e+02,1.521082585e-06,9.506766157e-08,9.651504731e-01
