genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
YHR104W,6,B,31,131,2.000000000e+00,-3.222495058e-03,1.359169312e+03,6.146382099e+02,1.184927601e-06,3.202507029e-08,9.908670472e-01
YDR514C,15,A,63,63,1.000000000e+00,-2.294746394e-02,9.989870535e+02,6.405472943e+02,2.956796332e-06,1.739291960e-07,9.253823035e-01
YNL214W,31,A,8,8,1.000000000e+00,-1.544467182e-02,8.062064272e+02,4.373662862e+02,3.018898594e-06,1.588893997e-07,9.526329575e-01
YKL096W-A,47,A,84,84,1.000000000e+00,-2.941412387e-02,9.156900285e+02,5.553645377e+02,2.783399313e-06,1.546332952e-07,9.484293901e-01
YIL008W,2,B,99,199,2.000000000e+00,-2.402942799e-02,1.238523512e+03,6.010603989e+02,6.530911539e-07,2.106745658e-08,9.925681055e-01
YKR019C,47,A,95,95,1.000000000e+00,4.435489657e-02,4.416647089e+02,2.903638451e+02,1.172954375e-06,1.466192969e-07,3.334104085e-01
YKR019C,47,A,95,95,2.000000000e+00,-1.483204761e-02,1.311899279e+03,5.760032671e+02,1.351513015e-06,3.652737879e-08,9.900026812e-01
YBR205W,9,A,33,33,1.000000000e+00,4.920148063e-02,2.594252224e+02,8.579808029e+01,2.575319692e-06,3.219149615e-07,8.115774661e-01
YBR205W,9,A,33,33,2.000000000e+00,-2.216928571e-02,1.366631451e+03,7.532640867e+02,1.080849432e-06,3.486611071e-08,9.878620293e-01
YIL054W,3,B,9,109,1.000000000e+00,-2.455167972e-02,8.631427968e+02,5.190093187e+02,2.755589025e-06,1.530882792e-07,9.504908815e-01
YML131W,44,A,64,64,1.000000000e+00,-3.055764604e-02,9.850823976e+02,6.604842500e+02,2.828856661e-06,1.768035413e-07,9.340948843e-01
YMR069W,42,A,69,69,1.000000000e+00,1.055314269e-02,3.997524871e+02,2.814302077e+02,8.292966148e-08,1.658593230e-08,-5.109920691e-02
YMR069W,42,A,69,69,2.000000000e+00,2.082518164e-02,1.269749503e+03,5.354788971e+02,1.007357853e-06,2.722588791e-08,9.921844808e-01
YNL329C,30,A,25,25,1.000000000e+00,3.002387550e-03,9.568511010e+02,5.220087958e+02,3.068951057e-06,1.461405265e-07,9.488531021e-01
YGR254W,49,A,77,77,1.000000000e+00,6.627862950e-02,3.462309908e+02,8.416834000e+01,2.363152150e-06,1.817809346e-07,9.066123197e-01
YGR254W,49,A,77,77,2.000000000e+00,-2.562722104e-02,1.384216593e+03,6.493610164e+02,1.199480493e-06,3.241839169e-08,9.911243049e-01
YDR363W,14,B,50,150,1.000000000e+00,-2.059706992e-02,9.783919959e+02,6.268386936e+02,1.328327150e-06,7.813689119e-08,9.649606604e-01
YNL249C,30,A,81,81,1.000000000e+00,6.360789951e-02,6.269870655e+02,2.569810114e+02,4.113268335e-06,2.164878071e-07,9.028473869e-01
YNL249C,30,A,81,81,1.000000000e+00,-2.402556440e-02,1.237856317e+03,9.112165358e+02,1.555302626e-06,9.720641416e-08,9.596647716e-01
YML096W,44,A,34,34,1.000000000e+00,-2.488554732e-02,9.757859616e+02,6.330288835e+02,1.807078955e-06,1.062987621e-07,9.621311093e-01
YDL219W,11,A,50,50,1.000000000e+00,-4.992158770e-02,9.015442963e+02,5.487399601e+02,7.105141180e-06,3.947300656e-07,8.739593536e-01
YDR127W,12,A,67,67,1.000000000e+00,2.503499596e-02,5.085176156e+02,1.839297936e+02,1.557991996e-06,9.737449977e-08,9.455730557e-01
YDR127W,12,A,67,67,2.000000000e+00,-1.472150858e-02,1.408362963e+03,7.428607869e+02,6.230393178e-07,1.887997933e-08,9.940817608e-01
YNL277W,30,A,64,64,1.000000000e+00,-1.962880285e-02,9.106423522e+02,5.843811032e+02,1.676702991e-06,1.047939369e-07,9.644850194e-01
YNL037C,32,A,16,16,1.000000000e+00,4.637698703e-02,3.012505603e+02,9.317558245e+01,2.617603060e-06,2.379639145e-07,8.255891451e-01
YNL037C,32,A,16,16,2.000000000e+00,-3.297602907e-02,1.555016290e+03,6.617915704e+02,9.858606820e-07,2.240592459e-08,9.874341292e-01
YGR227W,40,A,47,47,2.000000000e+00,-1.430729349e-02,1.374826621e+03,6.043682254e+02,1.452518442e-06,3.822416952e-08,9.893424742e-01
YKL135C,23,B,15,115,1.000000000e+00,-4.845397949e-02,1.200150431e+03,7.069697490e+02,1.877625521e-06,7.510502083e-08,9.616180996e-01
YIL149C,4,B,13,113,1.000000000e+00,-8.988204847e-03,4.873093613e+02,3.485945029e+02,1.041164616e-07,1.487378023e-08,6.356795098e-01
YIL149C,4,B,13,113,1.000000000e+00,-2.836280842e-03,8.143186070e+02,5.929950721e+02,1.685776607e-06,1.532524188e-07,9.590793481e-01
YLR357W,27,A,30,30,1.000000000e+00,-1.657705236e-03,1.288313913e+03,6.670109338e+02,8.289072991e-07,2.673894513e-08,9.816801378e-01
YNL076W,49,A,22,22,1.000000000e+00,-4.945630324e-02,9.619308349e+02,5.529403757e+02,3.086638140e-06,1.469827685e-07,9.529416223e-01
YGL153W,18,A,23,23,1.000000000e+00,7.334919553e-03,8.585399533e+02,4.372041452e+02,3.589883282e-06,1.709468230e-07,9.456146191e-01
YHR079C-B,6,A,100,100,1.000000000e+00,-2.374581332e-02,8.726912748e+02,5.329104037e+02,2.091983574e-06,1.230578573e-07,9.553194351e-01
YBL103C,7,B,87,187,1.000000000e+00,5.004688907e-03,1.135453236e+03,8.979427327e+02,1.111976754e-07,9.266472952e-09,8.932269478e-01
YHR209W,6,A,96,96,1.000000000e+00,2.543921571e-02,9.412142163e+02,6.795781577e+02,1.913847794e-06,1.367034138e-07,9.452547200e-01
YHR209W,6,A,96,96,1.000000000e+00,9.502231906e-03,1.428126731e+03,1.330048511e+03,3.329382275e-07,6.658764549e-08,-1.164677757e+01
YKL098W,22,A,84,84,1.000000000e+00,-2.634038968e-03,8.954335319e+02,5.654925410e+02,1.771704155e-06,1.107315097e-07,9.636832592e-01
YOR061W,33,B,19,119,2.000000000e+00,-2.262531185e-02,1.313275379e+03,5.749978209e+02,2.294066924e-06,6.200180876e-08,9.791937898e-01
YOR347C,35,B,38,138,1.000000000e+00,-2.296220871e-02,9.396309796e+02,6.019616302e+02,1.945761235e-06,1.216100772e-07,9.497888242e-01
YDR030C,11,A,95,95,1.000000000e+00,6.809010796e-03,4.474824382e+02,3.147215060e+02,5.576966233e-08,7.967094618e-09,7.355351687e-01
YDR030C,11,A,95,95,2.000000000e+00,-1.335769785e-02,1.318316804e+03,5.828783937e+02,1.119671756e-06,3.110199323e-08,9.911822040e-01
YJR120W,46,B,37,137,2.000000000e+00,9.995099540e-03,1.192697026e+03,5.391216133e+02,1.404232428e-06,4.255249782e-08,9.875420241e-01
YCR075C,48,A,99,99,2.000000000e+00,-4.254070070e-03,1.265487118e+03,5.973592693e+02,1.419438585e-06,4.174819368e-08,9.887195173e-01
YML071C,44,B,28,128,1.000000000e+00,1.781229276e-02,2.975029239e+02,1.782686435e+02,2.718819982e-07,4.531366637e-08,9.237409173e-01
YML071C,44,B,28,128,1.000000000e+00,-3.138958343e-03,9.101589712e+02,7.006555262e+02,2.441844479e-07,2.441844479e-08,9.845759606e-01
YML071C,44,B,28,128,1.000000000e+00,-1.520412188e-03,1.337872174e+03,1.108758424e+03,1.290282577e-07,1.172984161e-08,9.130335478e-01
YPL200W,37,A,2,2,1.000000000e+00,9.850014527e-03,3.177712825e+02,1.752430384e+02,1.675644783e-07,2.393778261e-08,7.384053132e-01
YPL200W,37,A,2,2,1.000000000e+00,-3.379531955e-02,7.860184580e+02,4.605648145e+02,1.826692086e-06,1.141682553e-07,9.606588288e-01
YJR094W-A,46,A,20,20,1.000000000e+00,-2.380322794e-02,8.762061185e+02,5.822696746e+02,1.616354428e-06,1.154538877e-07,9.319941385e-01
YBR061C,8,B,44,144,1.000000000e+00,1.300521998e-02,4.715688697e+02,2.971795302e+02,8.393446280e-07,9.326051422e-08,8.273368107e-01
YBR061C,8,B,44,144,2.000000000e+00,-7.428447820e-03,1.690532695e+03,9.758650209e+02,1.040714122e-06,2.890872561e-08,9.897529722e-01
